variant,kendall_tau_vs_baseline,mean_abs_rank_change,max_abs_rank_change
baseline,1.0,0.0,0.0
band_warm_+2C,0.7962123742912436,83.20214669051879,329.0
band_cool_-2C,0.8006858032270392,81.67799642218247,393.0
daylight_sunrise_0deg,0.934613831513052,27.10375670840787,257.0
aq_penalty_off,0.7562851265356344,103.37209302325581,412.0
rain_penalty_off,0.8942152590862007,43.19856887298748,528.0
evenness_shannon,0.7607776995830259,94.36225402504472,680.5
elevation_correction_off,0.9708680934792568,10.976744186046512,269.0
profile_sitting,0.8929576620223133,45.31663685152057,368.0
profile_running,0.6486076981369691,142.14669051878354,700.0
exposure_0,0.7966210517214991,84.74776386404294,363.0
exposure_0.25,0.8986401247431337,42.355992844364934,195.0
exposure_0.75,0.907342495945418,38.36583184257603,202.0
exposure_1,0.8287731364734642,70.75223613595706,368.0
metric_fraction,0.5717013493114544,176.2397137745975,594.0
metric_raw_hours,0.5605686578528782,181.59749552772809,594.0
metric_worst_month,0.631557277007568,144.95169946332737,547.0
