rank,rank_if_eligible,city_id,name,country,lat,lon,population,elevation_m,tz,microclimate_risk,microclimate_reason,coast_distance_km,relief_m,cell_elev_m,below_threshold,is_reference,comfort_hours_yr,daylight_hours_yr,comfort_fraction,worst_month_hours,best_month_hours,evenness_stat,evenness_method,evenness_factor,longest_bad_streak_days,peak_month,utci_mean_daylight_c,comfort_hours_sun,comfort_hours_shade,elev_offset_k,has_precip,month_01_hours,month_02_hours,month_03_hours,month_04_hours,month_05_hours,month_06_hours,month_07_hours,month_08_hours,month_09_hours,month_10_hours,month_11_hours,month_12_hours,pm25_ugm3,aq_factor,composite
11,11,safi-1278,Safi,Morocco,32.288682394481306,-9.234899722399522,352977.1937,49.8,Africa/Casablanca,True,coastal,5.443825327753738,170.02249145507812,59.364585876464844,False,False,4241.912466857062,4760.649434203322,0.8910365120314581,280.53344244557223,431.5438527718289,0.151124332706557,cv,0.848875667293443,2.0,5,18.761990845328505,3772.996771919706,4308.13588153344,0.0621698081970215,True,289.12414134427877,280.53344244557223,335.5596771597784,378.28150470122824,431.5438527718289,429.4917255435344,426.6992448629484,378.4512133368699,353.5583884756206,338.97429443308624,296.1543456790466,303.5406361032698,7.955687702265371,1.0,3600.8562759036636
12,12,nakuru-1529,Nakuru,Kenya,-0.2891020109837165,36.08118439434609,628217.6479,1872.68,Africa/Nairobi,True,relief,531.6820579918864,793.297607421875,1975.4891357421875,False,False,3979.4502623073327,4748.25,0.8380877717700906,295.780110596129,366.59857537157285,0.058142870851064184,cv,0.9418571291489358,1.0,1,22.60448493279121,2895.7608494206215,4213.074482554477,0.6682593823242183,True,366.59857537157285,317.82749586026534,322.4764656554955,295.780110596129,342.49760403021406,341.5174763464369,336.65755820853343,328.0122207610774,327.34511032404345,326.2465526154193,311.61051150792,362.8805810302254,11.82470064724919,0.9594510967277958,3596.0933257985444
13,13,dhamar-4685,Dhamar,Yemen,14.541197766554042,44.40089666171882,337585.4277,2435.26,Asia/Aden,True,relief,145.97586223055205,750.134033203125,2423.5576171875,False,False,4261.135479963824,4746.916727505019,0.8976638362483933,310.6300592270823,404.0490164483517,0.07566188023549207,cv,0.924338119764508,1.0,6,18.61658597056624,3756.0763431426954,4244.066786439466,-0.07606548828125141,True,341.0464218421996,318.688104706678,363.9492884094623,354.04214135239914,400.23514961857296,404.0490164483517,362.5794667325591,310.6300592270823,366.3071894392161,359.3664489992662,340.3529316925287,339.88926149550787,14.022807443365698,0.9106042790363178,3586.6243533696534
14,14,aguascalientes-4212,Aguascalientes,México,21.88694357378024,-102.28177780484361,878454.5583,1895.35,America/Mexico_City,True,relief,304.0184716033632,433.140869140625,1940.077392578125,False,False,3818.628644621644,4729.050876072276,0.8074830964375699,274.63763024439857,350.9318981177188,0.07108284827604223,cv,0.9289171517239577,1.0,10,21.37251230609797,2927.3530364729763,4181.5904534259835,0.2907280517578131,True,328.06252840280564,297.85532132670033,334.76878285495997,336.8850700102806,279.20147639366195,274.63763024439857,325.8065473506315,333.9390376936953,313.6832309806865,350.9318981177188,312.25433633857756,330.60278490752717,7.132710355987055,1.0,3547.1896440534547
15,15,san-luis-potosi-5215,San Luis Potosí,México,22.15236109689892,-100.95875327893691,1005068.069,1871.34,America/Mexico_City,True,relief,319.2697912425423,746.3253173828125,1952.798828125,False,False,3797.812615138593,4696.652354444242,0.8086211898449084,287.89182326242945,354.00040726655743,0.06768812699878951,cv,0.9323118730012105,2.0,10,20.098274099680907,3102.6151334716296,4006.4700145261804,0.5294823828125005,True,313.1954020902573,287.89182326242945,327.06527447247817,305.44391255523976,294.77894231251753,303.332677997079,345.0331378603694,350.49862230904336,302.68904392045334,354.00040726655743,302.0038806393233,311.8794904528456,6.603373786407767,1.0,3540.7457925274875
16,16,durango-3274,Durango,México,24.027564036004954,-104.64867624748442,548393.9081,1889.39,America/Monterrey,True,relief,188.43741910809769,405.0023193359375,1952.88427734375,False,False,3805.497550889072,4754.049735353166,0.8004749135436572,276.0201017838091,354.5239191570186,0.07282566422185044,cv,0.9271743357781496,2.0,4,19.752698013322124,3051.7074702436626,3975.639931397172,0.41271280273437433,True,295.72532018735285,276.0201017838091,340.64576999527424,354.5239191570186,321.9532592078883,291.5632462212355,327.1145143851505,345.94303260466756,298.5219946025483,331.8426506438585,315.9140857797318,305.7296563205366,5.378988673139159,1.0,3528.3596640509504
17,17,tijuana-507,Tijuana,México,32.49487366701592,-116.95551622270573,1538300.988,161.17,America/Tijuana,True,coastal+relief,15.595876593307096,853.47314453125,211.4714813232422,False,False,4413.0005933625125,4758.7161890856,0.9273510791595417,282.1095067400024,449.05321700004544,0.1603584028450162,cv,0.8396415971549838,4.0,7,17.726703244359438,4122.037402120789,4368.44374661368,0.3269596286010743,True,306.2304285799684,282.1095067400024,341.12023679355485,393.02954626082123,439.5158499670613,446.494556626075,449.05321700004544,417.2327874920484,369.56890636516835,365.63940907689096,307.42197087620866,295.5841775846671,12.548559870550163,0.9433653362099963,3495.488245526977
18,18,mission-viejo-2671,Mission Viejo,United States,33.59777231071328,-117.67954454797098,370029.2788,158.53,America/Los_Angeles,True,coastal+relief,11.772684419198258,1376.9661865234375,201.23306274414062,False,False,4407.331140453426,4794.981200949078,0.919155040603929,288.91028845054996,464.70631306623835,0.16097833818502574,cv,0.8390216618149743,2.0,6,18.999466240803518,3868.3799954808474,4461.120054557144,0.27756990783691404,True,312.7808945280966,288.91028845054996,350.52499299504285,397.34687580621363,443.0251294964623,464.70631306623835,449.2666073331166,395.6537365188099,350.2339483261409,348.7188248689382,305.97036156245,300.1931675013671,12.937071197411004,0.9347317511686444,3456.494345338159
,19,funchal-44,Funchal,Portugal,32.65677275721083,-16.930420500922704,135362.234,184.38,Atlantic/Madeira,True,coastal+relief,3.646137470277913,1552.1341552734375,364.2367858886719,True,True,4070.0305744500833,4748.91663624749,0.8570440136565862,272.0904140173992,432.2053039526266,0.15727053914691752,cv,0.8427294608530824,2.0,7,19.004690220328403,3546.7697440292895,4138.150681658569,1.1690691082763671,True,291.10214773769104,272.0904140173992,333.9260752379033,352.5597447068726,399.40415754563867,417.2715856285698,432.2053039526266,374.6637788653255,327.2028913134302,294.39031733514895,290.5483046212681,284.66585348820945,8.948163430420712,1.0,3429.93467166188
19,20,kenitra-3171,Kenitra,Morocco,34.25506499010823,-6.585418558432405,588772.1007,21.06,Africa/Casablanca,True,coastal,8.08110787728376,132.64195251464844,34.493385314941406,False,False,3963.1876157335987,4768.915723672203,0.8310458488626488,273.197079965077,415.5905959597109,0.13466055917871472,cv,0.8653394408212853,2.0,5,20.206996950986248,3366.271408044296,4211.5596464411665,0.08731700454711915,True,277.02648901135774,273.197079965077,336.0214869620887,367.3339624954126,415.5905959597109,398.9618139658947,361.897409367455,315.31653918788055,316.6254382211808,310.4159200028061,294.45891679986227,296.3419637948724,10.067451456310678,0.9985010787486516,3424.362001007109
